Key,Tranditional Chinese [zh-TC]
personalquest_implement_of_light_objective_desc,在死靈法師的聖所中找到骨禍斧，之後用它擊殺7個骷髏，行屍，或怨靈。,,,,,,,,,,,,,,,
personalquest_implement_of_light_objective_progress_tooltip,"Living Bones, Corpses and Spirits killed with the Skullbane Axe:",,,,,,,,,,,,,,,
personalquest_implement_of_light_objective_progress_tooltip_empty,None killed yet.,,,,,,,,,,,,,,,
personalquest_law_bringer,執法者,,,,,,,,,,,,,,,
personalquest_law_bringer_completed,這是一個艱巨的任務，但總要有人來做，總要有人站出來對抗那些暴徒，維護法律與秩序。謝謝你，黯淡港灣更加安全了，所有敢於威脅這裡和平的人都已經清楚，他們的不法行徑不再會被姑息。你已經完成了你該做的，現在是時候享受你應有的假期了——會有其他人來保證黯淡港灣的秩序：這片大地上還有許多混亂的地方。,,,,,,,,,,,,,,,
personalquest_law_bringer_desc,"<b>擊殺20個強盜或邪教徒</b>
,,,,,,,,,,,,,,,
世間萬物不過是秩序與混沌兩種形態——已經被馴服的和被控制的，以及就是等待被馴服和被控制的。黯淡港灣就是一個急需被控制的混亂之地，那麼從荒野周邊的那些非法之徒開始吧。雖然那些鼠人族也好不到哪去，但那些知法犯法的人類更是不可饒恕。",,,,,,,,,,,,,,,
personalquest_law_bringer_objective_desc,擊殺20個強盜或邪教徒。,,,,,,,,,,,,,,,
personalquest_law_bringer_objective_progress_tooltip,Bandits and Cultists killed:,,,,,,,,,,,,,,,
personalquest_law_bringer_objective_progress_tooltip_empty,No Bandits or Cultists killed yet.,,,,,,,,,,,,,,,
personalquest_merchant_class,商人階級,,,,,,,,,,,,,,,
personalquest_merchant_class_completed,這花了你不少時間，但最終你還是攢足了裝備來開一個屬於你的小商店。你不用再為了生活而在地下城裡好勇鬥狠，那些事情就留給曾與你一同冒險過的人吧。帶著商品，你走向了幽港港的大門。也許未來你會懷念你的傭兵朋友們，但不久之後你的腦袋已經在自己變成一個真正的商人的白日夢裡暢遊了——你確信他們會找到一個新的人來管理他們的倉庫。,,,,,,,,,,,,,,,
personalquest_merchant_class_desc,"<b>擁有兩件<sprite name=InvHead>道具，兩件<sprite name=InvBody>道具，兩件<sprite name=InvLegs>道具，三件<sprite name=InvOneHand>或<sprite name=InvTwoHands>道具和四件<sprite name=InvSmallItem>道具</b>
,,,,,,,,,,,,,,,
金錢就是力量，商人統治世界。你認為，如果你能收集到足夠的裝備，你也許能在某個地方建立自己的商店，並努力成為一個真正的商人。讓那些傻瓜們繼續在地牢裡為殘羹冷炙而戰鬥吧。",,,,,,,,,,,,,,,
personalquest_merchant_class_objective_desc,擁有兩件<sprite name=InvHead>道具，兩件<sprite name=InvBody>道具，兩件<sprite name=InvLegs>道具，三件<sprite name=InvOneHand>或<sprite name=InvTwoHands>道具和四件<sprite name=InvSmallItem>道具。,,,,,,,,,,,,,,,
personalquest_merchant_class_objective_progress_tooltip,Items owned:,,,,,,,,,,,,,,,
personalquest_merchant_class_objective_progress_tooltip_empty,No items owned yet.,,,,,,,,,,,,,,,
personalquest_piety_in_all_things,虔誠即是一切,,,,,,,,,,,,,,,
personalquest_piety_in_all_things_completed,你不得不停留的更久一些，但最終你還是想辦法把這座陰森城市的黃金帶去了當地的庇護所，讓它發揮了作用。多虧了你，黯淡港灣正在成為真正的希望之港，還要感謝聖橡樹，你終於可以離開這塊罪惡的土地，去另一座墮落的城市——一座沒有那麼多散發著惡臭的行屍走肉的城市。聖橡樹庇護所會讓其他倒楣蛋來照顧黯淡港灣的。,,,,,,,,,,,,,,,
personalquest_piety_in_all_things_desc,"<b>向聖橡樹庇護所捐贈120金</b>
,,,,,,,,,,,,,,,
這座黯淡港灣的陰森城市像是個翻滾著邪惡與貪婪的巨坑。僅僅是呼吸之間你便覺得肺好像被邪惡所污染。但你仍決定去幫助這些聖橡樹庇護所的菜鳥們，所以你必須堅強。你將冒險進入這個城市周圍的罪惡巢穴，盡力讓這座城市重拾希望。",,,,,,,,,,,,,,,
personalquest_piety_in_all_things_objective_desc,向聖橡樹庇護所捐贈120金,,,,,,,,,,,,,,,
personalquest_piety_in_all_things_objective_progress_tooltip,Gold donated to the Sanctuary of the Great Oak:,,,,,,,,,,,,,,,
personalquest_piety_in_all_things_objective_progress_tooltip_empty,No gold donated yet.,,,,,,,,,,,,,,,
personalquest_pounds_of_flesh,血債血償,,,,,,,,,,,,,,,
personalquest_pounds_of_flesh_completed,你讓他們付出了代價。他們奪走了你的家，你的父母，你的村莊，你的一切。一時的沉默也許能夠保全自己，但你的所作所為使你重獲自由，你意識到你絕不能袖手旁觀，看著別人經受相同的厄運。在與你的傭兵朋友們道別後，你向著黯淡港灣的荒野走去：另一個戰士會與你的朋友們並肩作戰——而你必須去阻止那些鼠人，永遠。,,,,,,,,,,,,,,,
personalquest_pounds_of_flesh_desc,"<b>擊殺十五個鼠人</b>
,,,,,,,,,,,,,,,
這片燒焦的廢墟曾是一座充滿活力的村莊，在廢墟之中無聲地坐著一個嬰兒。能使你活下去的唯一辦法就是保持沉默。村民們曾被警告過這片土地並不安全，但他們仍舊在這裡建起了村子。然後鼠人們來了，殺光了所有人——除了這個嬰兒。現在這個長大成人的嬰兒已經準備好復仇了。",,,,,,,,,,,,,,,
personalquest_pounds_of_flesh_objective_desc,擊殺十五個鼠人,,,,,,,,,,,,,,,
personalquest_pounds_of_flesh_objective_progress_tooltip,Vermlings killed:,,,,,,,,,,,,,,,
personalquest_pounds_of_flesh_objective_progress_tooltip_empty,No Vermlings killed yet.,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn,索恩的追尋者,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_completed,蟲群化作了人類的外形——那是一隻巢靈族人——用紊亂的嗡嗡聲說道：“我活過來了，瘟疫也將再次降臨。不必為你的朋友感到哀傷，他們已經盡了最大的作用了。我們會與你一同前行，為世界獻上禮物。瘟疫將擁抱這個世界。”,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_desc,"<b>你還是個孩子時，就已經能感受到索恩的呼喚。</b>
,,,,,,,,,,,,,,,
他曾被奉為神明，但如今他的祭壇卻破敗不堪，信眾也棄之而去。不過還有你能聽到他的呼喚。你聽從索恩的指引，來到了黯淡港灣，要找到他的遺骸並將其解放，好讓瘟疫再次降臨於世。",,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_desc,完成三個“地穴”劇本。之後解鎖劇本“劇毒地窖”並按照劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_progress_tooltip,"""Crypt"" scenarios completed:",,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_progress_tooltip_empty,"No ""Crypt"" scenarios completed yet.",,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_step0_desc,完成三個“地穴”劇本。（階段目標）,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_step1_desc,按照劇本“劇毒地窖”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_step2_desc,按照劇本“地穴密室”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_objective_step3_desc,按照劇本“冰晶宮殿”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_seeker_of_xorn_progress_completed_step_0,你剛從地穴出來時就感覺到索恩對你的呼喚變得比這麼多年來的更強了：你最後前往的三個地穴中有些東西——你錯過了的東西。他命令你在找到之前不能停下，所以你回到了地穴，最終找到了索恩想讓你發現的東西...,,,,,,,,,,,,,,,
personalquest_take_back_the_trees,奪回樹林,,,,,,,,,,,,,,,
personalquest_take_back_the_trees_completed,你沒法將你的村子復原，但得知那些將其奪走的人已經為他們犯下的罪行贖罪就夠了。在你從強盜手中救下的花晶族的幫助下，你可以按照心中所想的樣子重建村落。不再對戰鬥渴望的你向至親的戰友告別，離開了黯淡港灣回到樹林中生活。你相信叢林會為你的朋友們善行帶來回報的。,,,,,,,,,,,,,,,
personalquest_take_back_the_trees_desc,"<b>在匕首叢林內完成三個劇本。之後解鎖劇本“迷霧叢林”並按照劇本說明繼續</b>
,,,,,,,,,,,,,,,
那群人突然來到樹林宣稱他們對這片土地擁有主權並要求你們交付稅金。每次你們把這群強盜擊退之後，他們就會帶著更多的人捲土重來。現在你的家人不是被殺就是被俘。你需要外出尋求援助，並希望找到他們的老巢，然後把所有問題一次性解決。",,,,,,,,,,,,,,,
personalquest_take_back_the_trees_objective_desc,在匕首叢林內完成三個劇本。之後解鎖劇本“迷霧叢林”並按照劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_take_back_the_trees_objective_progress_tooltip,"""Dagger Forest"" scenarios completed:",,,,,,,,,,,,,,,
personalquest_take_back_the_trees_objective_progress_tooltip_empty,"No ""Dagger Forest"" scenarios completed yet.",,,,,,,,,,,,,,,
personalquest_take_back_the_trees_objective_step0_desc,在匕首叢林內完成三個劇本。（階段目標）,,,,,,,,,,,,,,,
personalquest_take_back_the_trees_objective_step1_desc,按照劇本“迷霧叢林”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_take_back_the_trees_objective_step2_desc,按照劇本“強盜的樹林”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_take_back_the_trees_progress_completed_step_0,你有點難以置信。就在剛剛你找到了你一直想要的東西。但你清楚你在那些樹裡看到的是什麼：找到那些屠殺你們村子的人並糾正一切的方法。一個奪回樹林的方法。,,,,,,,,,,,,,,,
personalquest_the_fall_of_man,隕落的人們,,,,,,,,,,,,,,,
personalquest_the_fall_of_man_completed,在結束了黯淡港灣過去的悲劇之謎，將靈魂從他們的遠古命運中解放之後，你感到一種名叫責任心的情感開始取代你的好奇心。你向其他傭兵告別，並計畫不僅要瞭解更多有關前人的資訊，還要將被困在位面魔法中的人解放。不管你將發現什麼，現在你確信這個城市被困在位面之間的人比任何人想像中的都要多。,,,,,,,,,,,,,,,
personalquest_the_fall_of_man_desc,"<b>在留客沼澤內完成兩個劇本。之後解鎖劇本“縹緲燈塔”並按照劇本說明繼續</b>
,,,,,,,,,,,,,,,
證據就在你的周圍——就在你的眼皮底下，只要你知道如何去尋找。很明顯這些城市建立在遠古文明的遺骸上。曾有人生活在這裡，但他們都消失了。你必須尋找線索來弄清那些人究竟遇上過什麼事情。",,,,,,,,,,,,,,,
personalquest_the_fall_of_man_objective_desc,在留客沼澤內完成兩個劇本。之後解鎖劇本“縹緲燈塔”並按照劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_the_fall_of_man_objective_progress_tooltip,"""Lingering Swamp"" scenarios completed:",,,,,,,,,,,,,,,
personalquest_the_fall_of_man_objective_progress_tooltip_empty,"No ""Lingering Swamp"" scenarios completed yet.",,,,,,,,,,,,,,,
personalquest_the_fall_of_man_objective_step0_desc,在留客沼澤內完成兩個劇本。（階段目標）,,,,,,,,,,,,,,,
personalquest_the_fall_of_man_objective_step1_desc,按照劇本“縹緲燈塔”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_the_fall_of_man_objective_step2_desc,按照劇本“靈魂葬坑”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_the_fall_of_man_progress_completed_step_0,不，這並不是你的思維在愚弄你，也不是魔法帶來的不良影響，甚至不是因為沼澤奇怪的氣味。你知道你看到的是什麼，你也明白這代表的意義——即使只有一瞬間，但你確實看到了前人在此留下的東西。你可以在此找到它，並揭開其隱藏的謎團。,,,,,,,,,,,,,,,
personalquest_the_perfect_poison,完美的毒藥,,,,,,,,,,,,,,,
personalquest_the_perfect_poison_completed,毒藥完成了。從未有過毒性如此複雜，外觀如此美麗的毒素。黯淡港灣的奇珍異獸真是大自然最優秀的成果，現在他們成就了你，讓你做出了完美的毒藥。你不確定是為什麼，但你情不自禁地覺得你做的太過了，就像你為這個城市帶來了瘟疫一般。你決定最好離開這，逃避你的所作所為帶來的後果。,,,,,,,,,,,,,,,
personalquest_the_perfect_poison_desc,"<b>擊殺三個泥漿怪，三個潛伏者，三個撕天龍</b>
,,,,,,,,,,,,,,,
製作毒藥是一門藝術。殺人的方法就像作畫那般五花八門。你迄今為止的所有作品都讓你感到十分滿意。但接下來才是你最高的傑作。有傳聞在黯淡港灣及其周遭的地區上生活著許多奇珍異獸。只要你能夠搞到哪怕是一丁點樣本，就能製作出一種傳奇毒藥，這可以讓你名聲大噪。",,,,,,,,,,,,,,,
personalquest_the_perfect_poison_objective_desc,擊殺三個泥漿怪，三個潛伏者，三個撕天龍。,,,,,,,,,,,,,,,
personalquest_the_perfect_poison_objective_progress_tooltip,"Oozes, Lurkers, and Spitting Drakes killed:",,,,,,,,,,,,,,,
personalquest_the_perfect_poison_objective_progress_tooltip_empty,"No Oozes, Lurkers, and Spitting Drakes killed yet.",,,,,,,,,,,,,,,
personalquest_the_thin_places,稀薄之地,,,,,,,,,,,,,,,
personalquest_the_thin_places_completed,儘管你做了你能做的一切，但空氣依舊變得比以往更稀薄了。但你瞭解到的是，這是某個在另一面，某個正在注視著黯淡港灣的東西所為。在你瞭解更多之前，你什麼都做不到——所以你匆匆地離開了你的傭兵同伴，離開這座城市去追尋真正能夠拯救它的知識。只有一點是能肯定的：那些藏在位面之間的東西暫時還無法毀滅黯淡港灣……,,,,,,,,,,,,,,,
personalquest_the_thin_places_desc,"<b>完成六個支線劇本</b>
,,,,,,,,,,,,,,,
黯淡港灣周邊的大氣十分稀薄。唔姆，但是更糟糕的是，有什麼東西隱藏在這種氣息之後...就像有某種力量不斷地擠壓並苦苦琢磨著要從另一個空間出來似的。這種感覺困擾著你，你決定前往附近的幾個地方去進一步研究這個現象。運氣好的話，說不定能改變現狀。",,,,,,,,,,,,,,,
personalquest_the_thin_places_objective_desc,完成六個支線劇本。,,,,,,,,,,,,,,,
personalquest_the_thin_places_objective_progress_tooltip,Side scenarios completed:,,,,,,,,,,,,,,,
personalquest_the_thin_places_objective_progress_tooltip_empty,No side scenarios completed yet.,,,,,,,,,,,,,,,
personalquest_trophy_hunt,狩獵的戰利品,,,,,,,,,,,,,,,
personalquest_trophy_hunt_completed,開始冒險時，你並不知道黑暗中潛藏著什麼生物，它們將帶來怎樣的考驗。不論你曾以為做不到的和做得到的，你都已經親手擊殺了它們。現在你已經見識過了黯淡港灣有的所有獵物，你很確信在這裡已經找不出能給你帶來些許挑戰的野獸了。你將你的戰利品全都裝上車離開了黯淡港灣，去往別處繼續你的狩獵。,,,,,,,,,,,,,,,
personalquest_trophy_hunt_desc,"<b>擊殺二十種不同的怪物</b>
,,,,,,,,,,,,,,,
一箭穿心，讓那頭鹿當場斃命的場景歷歷在目。在獵物的地盤上成功獵殺他們讓你興奮不已。但獵物不過是小菜一碟。荒野之上還有許多兇悍無比的生物，你想要體會獵殺他們的快感。你不是為了享受殺戮而去狩獵，你進行殺戮只因這是狩獵的必要過程而已。",,,,,,,,,,,,,,,
personalquest_trophy_hunt_objective_desc,擊殺二十種不同的怪物。,,,,,,,,,,,,,,,
personalquest_trophy_hunt_objective_progress_tooltip,Monster types killed:,,,,,,,,,,,,,,,
personalquest_trophy_hunt_objective_progress_tooltip_empty,No monsters killed yet.,,,,,,,,,,,,,,,
personalquest_vengeance,復仇,,,,,,,,,,,,,,,
personalquest_vengeance_completed,失去計畫後你只感到空虛。從那天在棚屋裡來，你就一直無法擺脫這種麻木空虛的感覺。為你的摯友報仇曾經是為了讓你再次感到圓滿，但這只是剝奪了你的動力和情感。你決定是時候離開黯淡港灣了，去在大路上追尋自我；你這輩子已經厭倦了和神話生物打交道了。,,,,,,,,,,,,,,,
personalquest_vengeance_desc,每當你閉上雙眼，兩小無猜的童年便歷歷在目；然而當你睜開雙眼，你最好的朋友卻已不在人世。雖然衛兵們一口咬定這不過是一個意外，但你知道他們其實滿口謊言。你發誓一定會找到兇手並親手手刃。有些是必須血債血償。,,,,,,,,,,,,,,,
personalquest_vengeance_objective_desc,"<b>在黯淡港灣內完成四個劇本。（階段目標）</b>
,,,,,,,,,,,,,,,
在黯淡港灣內完成四個劇本。之後解鎖劇本“調查”並按照劇本說明繼續。",,,,,,,,,,,,,,,
personalquest_vengeance_objective_progress_tooltip,City scenarios within Gloomhaven completed:,,,,,,,,,,,,,,,
personalquest_vengeance_objective_progress_tooltip_empty,No city scenarios completed yet.,,,,,,,,,,,,,,,
personalquest_vengeance_objective_step0_desc,在黯淡港灣內完成四個劇本。（階段目標）,,,,,,,,,,,,,,,
personalquest_vengeance_objective_step1_desc,按照劇本“調查”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_vengeance_objective_step2_desc,按照劇本“血腥小屋”的劇本說明繼續。,,,,,,,,,,,,,,,
personalquest_vengeance_progress_completed_step_0,在戰鬥結束後，你在一個強盜的屍體旁找到了這個小小的——裝得滿滿的——錢包，正是屬於你搜集到的所有證據指向的那個人。標籤背面用淩亂的字寫著“賄賂”，還印著當地強盜氏族的紋章。這是解開你疑惑的最後一塊拼圖：你已經確信是誰害死了你的摯友，並且無論如何你都會找出答案。,,,,,,,,,,,,,,,
personalquest_zealot_of_the_blood_god,嗜血之神的狂信者,,,,,,,,,,,,,,,
personalquest_zealot_of_the_blood_god_completed,獻祭是必要的，所以祭品應被奉上。但你的獻祭已經完成了。嗜血之神已經表示你已不再受到庇護；你必須給自己找條出路了。你當然尊重神明的意志，但你還是不禁感覺信仰的神明背棄了你。似乎你的獻身是那麼的微不足道。在你離開這個城市時，你決定要過一個平靜的生活——也許是買下一個農場。不管如何，嗜血之神將會在黯淡港灣找一個新的信徒。,,,,,,,,,,,,,,,
personalquest_zealot_of_the_blood_god_desc,"<b>精疲力竭的次數達到十二次。</b>
,,,,,,,,,,,,,,,
那些如螻蟻一般終日忙忙碌碌般的人根本不懂何為真正的捨身奉獻——那就是放棄一切並把自己毫無保留地交付給一個更偉大的存在。一些文獻記載著古老的方法，那就是捨身取義。只有英勇的戰死沙場才能喚醒嗜血之神。所以在每場戰鬥中你都全力以赴，直到最後一刻。直到永遠。",,,,,,,,,,,,,,,
personalquest_zealot_of_the_blood_god_objective_desc,精疲力竭的次數達到十二次。,,,,,,,,,,,,,,,
personalquest_zealot_of_the_blood_god_objective_progress_tooltip,Number of exhaustions:,,,,,,,,,,,,,,,
personalquest_zealot_of_the_blood_god_objective_progress_tooltip_empty,No exhaustions yet.,,,,,,,,,,,,,,,
pierce,穿透,,,,,,,,,,,,,,,
pierceshort,穿透,,,,,,,,,,,,,,,
plagueherald,瘟疫使者,,,,,,,,,,,,,,,
plagueherald_adventure_description,無論是受了誤導還是對其他種族生理上的忽視，瘟疫使者們相信疾病在整個社會的傳播將加強這個社會，並推動它朝著更偉大的方向發展。若與瘟疫使者做隊友應該警惕，他們在戰場兩邊都傳播腐爛和死亡的能力是一個可怕的東西。,,,,,,,,,,,,,,,
plagueherald_difficulty,中,,,,,,,,,,,,,,,
plagueherald_role,遠端輸出/輔助,,,,,,,,,,,,,,,
plagueherald_strengths,"- <indent=%15>能以多個敵人為目標</indent>
- <indent=%15>有效的遠程能力</indent>
- <indent=%15>通過使用詛咒和下毒，帶來強有力的debuff能力</indent>",,,,,,,,,,,,,,,
plagueherald_weaknesses,"- <indent=%15>非常有可能誤傷友軍</indent>
- <indent=%15>對於單個大目標輸出效率較低</indent>
- <indent=%15>蟲靈族的交配儀式實在是...</indent>",,,,,,,,,,,,,,,
plaguerat,瘟疫之源,,,,,,,,,,,,,,,
playsong,演奏戰歌,,,,,,,,,,,,,,,
plus,加上,,,,,,,,,,,,,,,
poison,中毒,,,,,,,,,,,,,,,
poisoned flame,劇毒烈焰,,,,,,,,,,,,,,,
poisonshort,中毒,,,,,,,,,,,,,,,
portal_descr_tooltip,移動路徑終點在傳送門上將會傳送一個角色到相連的傳送門。,,,,,,,,,,,,,,,
portal_tooltip,傳送門,,,,,,,,,,,,,,,
pressure_plate_tooltip,壓力板,,,,,,,,,,,,,,,
preventdamage,阻止傷害,,,,,,,,,,,,,,,
priestessdialogname,橡樹看守員,,,,,,,,,,,,,,,
primedemon,大魔,,,,,,,,,,,,,,,
primelieutenant,精英中尉,,,,,,,,,,,,,,,
pull,拉進,,,,,,,,,,,,,,,
push,強推,,,,,,,,,,,,,,,
quartermaster,軍需官,,,,,,,,,,,,,,,
quartermaster_adventure_description,熟練的魔人族軍需官幫助冒險團隊在戰鬥中最大化他們裝備的效果，並以此聞名。畢竟，一個身邊沒有好劍的戰士算什麼呢？,,,,,,,,,,,,,,,
quartermaster_difficulty,中,,,,,,,,,,,,,,,
quartermaster_role,近戰輸出/輔助,,,,,,,,,,,,,,,
quartermaster_strengths,"- <indent=%15>擁有許多物品刷新技能</indent>
- <indent=%15>進攻和防禦能力比較平衡</indent>
- <indent=%15>團隊萬金油（知識點：Jack of all trades）</indent>",,,,,,,,,,,,,,,
quartermaster_weaknesses,"- <indent=%15>沒有一項能力是大師</indent>
- <indent=%15>帶的物品越少越弱</indent>
- <indent=%15>總是帶著太多行李</indent>",,,,,,,,,,,,,,,
quest_campaign_001_desc,前往黑土墳塚尋找傑西拉的文件,,,,,,,,,,,,,,,
quest_campaign_001_intro,"你們一路向下走去，幸運的是，低處有微弱的光亮。不幸的是，伴隨著微光傳來一股濃烈的屍臭味。你們邊前進邊思索，究竟是什麼樣的強盜才會把營地選在如此噁心的地方。
,,,,,,,,,,,,,,,
終於，你們抵達了樓梯的盡頭。在這裡找到了問題的答案——一群粗野的亡命之徒。他顯然不太歡迎你們這群不速之客。其中站在後面的那個人，其面容看上去和你們掌握的情報十分吻合。",,,,,,,,,,,,,,,
quest_campaign_001_intro_gh_1,"人是鐵，飯是鋼。
,,,,,,,,,,,,,,,
不管你們為了什麼才來到黯淡港灣，在這世界的邊緣地帶有著一條永恆不變的真理——傭兵可不能餓著肚子戰鬥。
,,,,,,,,,,,,,,,
",,,,,,,,,,,,,,,
quest_campaign_001_intro_gh_2,傑西拉——一個身穿紅袍的煉魔族女人，全身佩戴著足以養活你們十年的首飾。因此當她來到“睡獅”酒館與你洽談時，她提出用十枚金幣雇你們找尋一名盜賊，以及奪回被盜的貨物。唔姆，看起來讓你們從宿醉中醒來，付清酒錢，然後動身的充分理由出現了。,,,,,,,,,,,,,,,
quest_campaign_001_intro_gh_3,“那個小賊偷走了一些重要文件，”這位紅皮膚的女商人一邊說著，她的尾巴就一邊焦躁不安地甩來甩去，“我不管你們怎樣對付他，只要把我的東西帶回來就可以。”,,,,,,,,,,,,,,,
quest_campaign_001_intro_gh_4,"根據傑西拉的描述，你們很輕易就從後巷裡找到找到幾個小混混，對他一頓爆錘之後問出了那名盜賊的藏身之處。在黯淡港灣，要是不懂怎麼敲碎幾顆腦袋可是當不了傭兵的。
,,,,,,,,,,,,,,,
你們的目標就在黑土墳塚。聽起來是個“好”地方呢。",,,,,,,,,,,,,,,
quest_campaign_001_intro_travel_1,你們很輕易地就找到了這座小山丘——從新集市門出發沒走多遠，就發現它立在屍骸森林的邊緣，從遠處看去如同一隻躲在地毯底下的老鼠。,,,,,,,,,,,,,,,
quest_campaign_001_intro_travel_2,走近一點，你們發現這個土堆是由一塊黑土形成的。它狹窄、雜草叢生的入口顯露出一條磨損的石階來，通往黑暗的地下深處。,,,,,,,,,,,,,,,
quest_campaign_001_list,你們的故事從這裡開始,,,,,,,,,,,,,,,
quest_campaign_001_name,黑土墳塚,,,,,,,,,,,,,,,
quest_campaign_002_desc,從強盜頭領那取回傑西拉的文件,,,,,,,,,,,,,,,
quest_campaign_002_intro,"你們將腳邊橫七豎八的屍體踢開，向著地下墓穴更深之處前進，死亡與腐肉的惡臭隨著不斷深入而愈加濃烈。伴隨著模糊不清的交談聲，你們在這迷宮般的墓穴之中摸索前行，最後闖進了一個滿是強盜的小房間。與此同時，無數鋒利的箭都已經搭在弦上瞄向了你。
,,,,,,,,,,,,,,,
顯然他們正在守護著某些東西，看來你來對地方了。",,,,,,,,,,,,,,,
quest_campaign_002_list,擊殺強盜指揮。,,,,,,,,,,,,,,,
quest_campaign_002_name,墓中賊窩,,,,,,,,,,,,,,,
quest_campaign_002_outro_gh_1,你們和傑西拉在“睡獅”酒館裡再次碰面，把文書交給她的同時收取了之前商定好的報酬。,,,,,,,,,,,,,,,
quest_campaign_002_outro_gh_2,“你們知道，”她在酒館的嘈雜聲中對你們低聲耳語，“如果你們感興趣的話，我這裡還有其他任務可以交給你去做。匕首叢林的一個羚牛族部落劫持了我去往首都的物資車。”,,,,,,,,,,,,,,,
quest_campaign_002_outro_gh_3,“我和軍方說過，但他們什麼都沒做，”她啐了一口，“我可以告訴你們這個營地的方位。如果你們替我前去殺雞儆猴的話，我會再付給你們更多報酬。”,,,,,,,,,,,,,,,
quest_campaign_002_outro_gh_4,她把一張簡陋的森林地圖擺在桌上並起身離開，身上的首飾隨著走動叮噹作響。“事情完成後再來找我吧。”,,,,,,,,,,,,,,,
quest_campaign_002_scenario_modifier_1,所有角色以3張詛咒卡開始劇本,,,,,,,,,,,,,,,
quest_campaign_002_scenario_modifier_2,只有強盜頭領才可能在第二間房間裡打開那些門。,,,,,,,,,,,,,,,
quest_campaign_003_desc,給所有和傑西拉敵對的羚牛族上一課,,,,,,,,,,,,,,,
quest_campaign_003_intro,你們進入匕首叢林並按照傑西拉提供的簡易地圖尋找營地的位置。它隱藏的很好，但是你們跟隨著地圖上的標記一路前進，最終還是在森林旁的一片小空地上發現了一群密集的木屋。現在要做的就是進去做好殺雞儆猴的工作。,,,,,,,,,,,,,,,
quest_campaign_003_intro_travel_1,這麼說，這位商人想要對那些商隊掠奪者殺一儆百？這聽上去還算合情合理。再說了，只要有了合適的價錢，不管你們做什麼都是合情合理的。,,,,,,,,,,,,,,,
quest_campaign_003_list,擊殺所有掠奪者,,,,,,,,,,,,,,,
quest_campaign_003_name,羚牛族營地,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_1,再次和傑西拉見了面，不過這次是在她的別墅裡。你們坐下時心裡的想法毫無掩飾的表現在臉上，她看到你們這樣的表情，便皺著眉頭交給你們一袋子金幣。,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_10,“聽著，你們大可以像一條小狗一樣乖乖為她賣命，但是，假如你們真的想為這座小鎮的和平盡一份力，讓這裡不受邪惡力量的侵襲的話，我有個不同的提議。我們要將傑西拉的陰謀調查清楚，然後揭開她的真面目。”,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_2,“他們都是些強盜和殺人犯，”她面無表情的說。“他們不過是罪有應得，對於此事我不會再多說些什麼。”,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_3,“我還有個任務要交給你們去做。我的一個客戶需要一塊相當大的鑽石，可是我在這城市裡根本找不到合適的。”,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_4,“不過，在南方的群山裡有一座荒廢已久的鑽石礦井。我聽說那裡現在被鼠人族所佔據，毫無疑問鼠人族背後應該還有更加聰慧的東西在指揮著它們。”,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_5,“如果你們能夠殺進去並將鑽石帶回來，我會付給你們相當可觀的報酬。好了，現在你們可以退下了。”傑西拉的兩名壯碩的羚牛族保鏢站上前來，把你們帶離了別墅。,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_6,你們正在外面琢磨著自己的新任務，在這時你聽到一個細小的聲音在背後響起：“你們知道，她要的絕不是錢財。”,,,,,,,,,,,,,,,
quest_campaign_003_outro_gh_7,你們轉過身去，看見一個智元族女性從別墅邊的小巷中走了出來。她身穿黑色皮甲，手中握著一個引人注目的奇妙裝置，上面滿是不停轉著的齒輪，並且頂端有著一個與管子相接的錐形金屬零件。,,,,,,,,,,,,,,,
